2020-01-06 13:48:59 T: 23.95 degC, P: 1022.32 hPa, H: 38.03 %rH, G: 25435 Ohms
2020-01-06 14:24:53 T: 24.38 degC, P: 1021.75 hPa, H: 37.21 %rH, G: 146288 Ohms
2020-01-06 14:24:58 T: 24.38 degC, P: 1021.75 hPa, H: 37.19 %rH, G: 146801 Ohms
2020-01-06 14:25:03 T: 24.38 degC, P: 1021.75 hPa, H: 37.19 %rH, G: 146288 Ohms
2020-01-06 14:25:08 T: 24.38 degC, P: 1021.75 hPa, H: 37.19 %rH, G: 146288 Ohms
2020-01-06 14:25:13 T: 24.38 degC, P: 1021.75 hPa, H: 37.22 %rH, G: 146930 Ohms
2020-01-06 14:25:18 T: 24.38 degC, P: 1021.73 hPa, H: 37.22 %rH, G: 147318 Ohms
2020-01-06 14:25:23 T: 24.38 degC, P: 1021.75 hPa, H: 37.20 %rH, G: 146416 Ohms
2020-01-06 14:25:28 T: 24.38 degC, P: 1021.75 hPa, H: 37.24 %rH, G: 147059 Ohms
2020-01-06 14:25:33 T: 24.38 degC, P: 1021.75 hPa, H: 37.23 %rH, G: 147447 Ohms
2020-01-06 14:25:38 T: 24.38 degC, P: 1021.75 hPa, H: 37.23 %rH, G: 146801 Ohms
2020-01-06 14:25:43 T: 24.38 degC, P: 1021.75 hPa, H: 37.21 %rH, G: 147318 Ohms
2020-01-06 14:25:48 T: 24.38 degC, P: 1021.75 hPa, H: 37.24 %rH, G: 146161 Ohms
2020-01-06 14:25:53 T: 24.38 degC, P: 1021.75 hPa, H: 37.28 %rH, G: 146033 Ohms
2020-01-06 14:25:58 T: 24.38 degC, P: 1021.75 hPa, H: 37.29 %rH, G: 145652 Ohms
2020-01-06 14:26:03 T: 24.39 degC, P: 1021.77 hPa, H: 37.29 %rH, G: 146033 Ohms
2020-01-06 14:26:08 T: 24.39 degC, P: 1021.75 hPa, H: 37.30 %rH, G: 146161 Ohms
2020-01-06 14:26:13 T: 24.39 degC, P: 1021.75 hPa, H: 37.32 %rH, G: 144646 Ohms
2020-01-06 14:26:18 T: 24.39 degC, P: 1021.75 hPa, H: 37.25 %rH, G: 146416 Ohms
2020-01-06 14:26:23 T: 24.39 degC, P: 1021.75 hPa, H: 37.22 %rH, G: 145906 Ohms
2020-01-06 14:26:28 T: 24.39 degC, P: 1021.73 hPa, H: 37.23 %rH, G: 145906 Ohms
2020-01-06 14:26:33 T: 24.39 degC, P: 1021.73 hPa, H: 37.24 %rH, G: 145779 Ohms
2020-01-06 14:26:38 T: 24.39 degC, P: 1021.73 hPa, H: 37.26 %rH, G: 146801 Ohms
2020-01-06 14:26:43 T: 24.39 degC, P: 1021.73 hPa, H: 37.32 %rH, G: 146033 Ohms
2020-01-06 14:26:48 T: 24.39 degC, P: 1021.73 hPa, H: 37.35 %rH, G: 146416 Ohms
2020-01-06 14:26:53 T: 24.39 degC, P: 1021.75 hPa, H: 37.34 %rH, G: 146161 Ohms
2020-01-06 14:26:58 T: 24.39 degC, P: 1021.73 hPa, H: 37.32 %rH, G: 145779 Ohms
2020-01-06 14:27:03 T: 24.39 degC, P: 1021.75 hPa, H: 37.31 %rH, G: 145652 Ohms
2020-01-06 14:27:08 T: 24.39 degC, P: 1021.73 hPa, H: 37.33 %rH, G: 146288 Ohms
2020-01-06 14:27:13 T: 24.39 degC, P: 1021.73 hPa, H: 37.34 %rH, G: 145652 Ohms
2020-01-06 14:27:18 T: 24.39 degC, P: 1021.73 hPa, H: 37.34 %rH, G: 145273 Ohms
2020-01-06 14:27:23 T: 24.39 degC, P: 1021.75 hPa, H: 37.30 %rH, G: 145652 Ohms
2020-01-06 14:27:28 T: 24.40 degC, P: 1021.75 hPa, H: 37.32 %rH, G: 145779 Ohms
2020-01-06 14:27:33 T: 24.40 degC, P: 1021.77 hPa, H: 37.34 %rH, G: 144771 Ohms
2020-01-06 14:27:38 T: 24.40 degC, P: 1021.77 hPa, H: 37.31 %rH, G: 145147 Ohms
2020-01-06 14:27:43 T: 24.40 degC, P: 1021.77 hPa, H: 37.34 %rH, G: 144771 Ohms
2020-01-06 14:27:48 T: 24.40 degC, P: 1021.77 hPa, H: 37.37 %rH, G: 145526 Ohms
2020-01-06 14:27:53 T: 24.41 degC, P: 1021.75 hPa, H: 37.42 %rH, G: 144896 Ohms
2020-01-06 14:27:58 T: 24.41 degC, P: 1021.73 hPa, H: 37.45 %rH, G: 144148 Ohms
2020-01-06 14:28:03 T: 24.41 degC, P: 1021.73 hPa, H: 37.47 %rH, G: 144646 Ohms
2020-01-06 14:28:08 T: 24.42 degC, P: 1021.77 hPa, H: 37.33 %rH, G: 145022 Ohms
2020-01-06 14:28:13 T: 24.42 degC, P: 1021.77 hPa, H: 37.24 %rH, G: 144896 Ohms
2020-01-06 14:28:18 T: 24.42 degC, P: 1021.77 hPa, H: 37.18 %rH, G: 146161 Ohms
2020-01-06 14:28:23 T: 24.42 degC, P: 1021.77 hPa, H: 37.12 %rH, G: 145147 Ohms
2020-01-06 14:28:28 T: 24.42 degC, P: 1021.77 hPa, H: 37.12 %rH, G: 146673 Ohms
2020-01-06 14:28:33 T: 24.42 degC, P: 1021.77 hPa, H: 37.18 %rH, G: 145147 Ohms
2020-01-06 14:28:38 T: 24.42 degC, P: 1021.77 hPa, H: 37.26 %rH, G: 145273 Ohms
2020-01-06 14:28:43 T: 24.42 degC, P: 1021.77 hPa, H: 37.21 %rH, G: 145526 Ohms
2020-01-06 14:28:48 T: 24.43 degC, P: 1021.75 hPa, H: 37.19 %rH, G: 145022 Ohms
2020-01-06 14:28:53 T: 24.43 degC, P: 1021.75 hPa, H: 37.14 %rH, G: 145399 Ohms
2020-01-06 14:28:58 T: 24.43 degC, P: 1021.75 hPa, H: 37.12 %rH, G: 145526 Ohms
2020-01-06 14:29:03 T: 24.43 degC, P: 1021.73 hPa, H: 37.13 %rH, G: 146033 Ohms
2020-01-06 14:29:08 T: 24.43 degC, P: 1021.73 hPa, H: 37.18 %rH, G: 145147 Ohms
2020-01-06 14:29:13 T: 24.43 degC, P: 1021.73 hPa, H: 37.22 %rH, G: 144397 Ohms
2020-01-06 14:29:18 T: 24.43 degC, P: 1021.73 hPa, H: 37.26 %rH, G: 145022 Ohms
2020-01-06 14:29:23 T: 24.43 degC, P: 1021.73 hPa, H: 37.26 %rH, G: 144646 Ohms
2020-01-06 14:29:28 T: 24.43 degC, P: 1021.73 hPa, H: 37.27 %rH, G: 143900 Ohms
2020-01-06 14:29:33 T: 24.44 degC, P: 1021.77 hPa, H: 37.25 %rH, G: 144896 Ohms
2020-01-06 14:29:38 T: 24.43 degC, P: 1021.71 hPa, H: 37.20 %rH, G: 144646 Ohms
2020-01-06 14:29:43 T: 24.43 degC, P: 1021.71 hPa, H: 37.15 %rH, G: 145652 Ohms
2020-01-06 14:29:48 T: 24.43 degC, P: 1021.71 hPa, H: 37.15 %rH, G: 144521 Ohms
2020-01-06 14:29:53 T: 24.43 degC, P: 1021.73 hPa, H: 37.13 %rH, G: 145147 Ohms
2020-01-06 14:29:58 T: 24.43 degC, P: 1021.73 hPa, H: 37.12 %rH, G: 145399 Ohms
2020-01-06 14:30:03 T: 24.43 degC, P: 1021.73 hPa, H: 37.17 %rH, G: 145399 Ohms
2020-01-06 14:30:08 T: 24.43 degC, P: 1021.73 hPa, H: 37.11 %rH, G: 145022 Ohms
2020-01-06 14:30:13 T: 24.43 degC, P: 1021.73 hPa, H: 37.08 %rH, G: 145022 Ohms
2020-01-06 14:30:18 T: 24.43 degC, P: 1021.73 hPa, H: 37.08 %rH, G: 144771 Ohms
2020-01-06 14:30:23 T: 24.43 degC, P: 1021.73 hPa, H: 37.08 %rH, G: 145022 Ohms
2020-01-06 14:30:28 T: 24.43 degC, P: 1021.73 hPa, H: 37.02 %rH, G: 145273 Ohms
2020-01-06 14:30:33 T: 24.43 degC, P: 1021.73 hPa, H: 37.01 %rH, G: 145906 Ohms
2020-01-06 14:30:38 T: 24.43 degC, P: 1021.73 hPa, H: 37.00 %rH, G: 145273 Ohms
2020-01-06 14:30:43 T: 24.43 degC, P: 1021.73 hPa, H: 36.97 %rH, G: 145779 Ohms
2020-01-06 14:30:48 T: 24.43 degC, P: 1021.73 hPa, H: 37.02 %rH, G: 145906 Ohms
2020-01-06 14:30:53 T: 24.43 degC, P: 1021.73 hPa, H: 37.07 %rH, G: 144896 Ohms
2020-01-06 14:30:58 T: 24.43 degC, P: 1021.73 hPa, H: 37.11 %rH, G: 144896 Ohms
2020-01-06 14:31:03 T: 24.44 degC, P: 1021.79 hPa, H: 37.08 %rH, G: 145147 Ohms
2020-01-06 14:31:08 T: 24.44 degC, P: 1021.79 hPa, H: 37.10 %rH, G: 145147 Ohms
2020-01-06 14:31:13 T: 24.44 degC, P: 1021.79 hPa, H: 37.07 %rH, G: 145273 Ohms
2020-01-06 14:31:18 T: 24.44 degC, P: 1021.79 hPa, H: 36.99 %rH, G: 145273 Ohms
2020-01-06 14:31:23 T: 24.44 degC, P: 1021.79 hPa, H: 36.97 %rH, G: 145652 Ohms
2020-01-06 14:31:28 T: 24.44 degC, P: 1021.79 hPa, H: 36.96 %rH, G: 145022 Ohms
2020-01-06 14:31:33 T: 24.44 degC, P: 1021.79 hPa, H: 36.96 %rH, G: 145526 Ohms
2020-01-06 14:31:38 T: 24.44 degC, P: 1021.79 hPa, H: 36.97 %rH, G: 145399 Ohms
2020-01-06 14:31:43 T: 24.44 degC, P: 1021.79 hPa, H: 37.01 %rH, G: 145652 Ohms
2020-01-06 14:31:48 T: 24.45 degC, P: 1021.79 hPa, H: 37.00 %rH, G: 145779 Ohms
2020-01-06 14:31:53 T: 24.45 degC, P: 1021.79 hPa, H: 36.97 %rH, G: 145526 Ohms
2020-01-06 14:31:58 T: 24.45 degC, P: 1021.79 hPa, H: 36.94 %rH, G: 145022 Ohms
2020-01-06 14:32:03 T: 24.45 degC, P: 1021.77 hPa, H: 36.92 %rH, G: 145147 Ohms
2020-01-06 14:32:08 T: 24.45 degC, P: 1021.77 hPa, H: 36.90 %rH, G: 145526 Ohms
2020-01-06 14:32:13 T: 24.45 degC, P: 1021.77 hPa, H: 36.85 %rH, G: 146416 Ohms
2020-01-06 14:32:18 T: 24.45 degC, P: 1021.77 hPa, H: 36.85 %rH, G: 146673 Ohms
2020-01-06 14:32:23 T: 24.45 degC, P: 1021.75 hPa, H: 36.85 %rH, G: 146288 Ohms
2020-01-06 14:32:28 T: 24.45 degC, P: 1021.77 hPa, H: 36.87 %rH, G: 146161 Ohms
2020-01-06 14:32:33 T: 24.45 degC, P: 1021.77 hPa, H: 36.93 %rH, G: 145022 Ohms
2020-01-06 14:32:38 T: 24.45 degC, P: 1021.77 hPa, H: 36.96 %rH, G: 145526 Ohms
2020-01-06 14:32:43 T: 24.45 degC, P: 1021.77 hPa, H: 36.93 %rH, G: 146416 Ohms
2020-01-06 14:32:48 T: 24.45 degC, P: 1021.77 hPa, H: 36.92 %rH, G: 145147 Ohms
2020-01-06 14:32:53 T: 24.45 degC, P: 1021.77 hPa, H: 36.98 %rH, G: 145147 Ohms
2020-01-06 14:32:58 T: 24.46 degC, P: 1021.79 hPa, H: 37.01 %rH, G: 145399 Ohms
2020-01-06 14:33:03 T: 24.46 degC, P: 1021.79 hPa, H: 36.98 %rH, G: 145399 Ohms
2020-01-06 14:33:08 T: 24.46 degC, P: 1021.79 hPa, H: 36.94 %rH, G: 145652 Ohms
2020-01-06 14:33:13 T: 24.45 degC, P: 1021.77 hPa, H: 36.88 %rH, G: 146161 Ohms
2020-01-06 14:33:18 T: 24.46 degC, P: 1021.79 hPa, H: 36.84 %rH, G: 145652 Ohms
2020-01-06 14:33:23 T: 24.46 degC, P: 1021.79 hPa, H: 36.84 %rH, G: 145526 Ohms
2020-01-06 14:33:28 T: 24.46 degC, P: 1021.79 hPa, H: 36.81 %rH, G: 146033 Ohms
2020-01-06 14:33:33 T: 24.46 degC, P: 1021.79 hPa, H: 36.81 %rH, G: 146033 Ohms
2020-01-06 14:33:38 T: 24.46 degC, P: 1021.79 hPa, H: 36.81 %rH, G: 146544 Ohms
2020-01-06 14:33:43 T: 24.46 degC, P: 1021.79 hPa, H: 36.86 %rH, G: 145652 Ohms
2020-01-06 14:33:48 T: 24.46 degC, P: 1021.77 hPa, H: 36.84 %rH, G: 146161 Ohms
2020-01-06 14:33:53 T: 24.46 degC, P: 1021.77 hPa, H: 36.84 %rH, G: 146288 Ohms
2020-01-06 14:33:58 T: 24.46 degC, P: 1021.75 hPa, H: 36.86 %rH, G: 146544 Ohms
2020-01-06 14:34:03 T: 24.46 degC, P: 1021.75 hPa, H: 36.85 %rH, G: 146288 Ohms
2020-01-06 14:34:08 T: 24.46 degC, P: 1021.75 hPa, H: 36.86 %rH, G: 145906 Ohms
2020-01-06 14:34:13 T: 24.46 degC, P: 1021.75 hPa, H: 36.83 %rH, G: 146416 Ohms
2020-01-06 14:34:18 T: 24.46 degC, P: 1021.75 hPa, H: 36.87 %rH, G: 146161 Ohms
2020-01-06 14:34:23 T: 24.46 degC, P: 1021.75 hPa, H: 36.86 %rH, G: 145779 Ohms
2020-01-06 14:34:28 T: 24.45 degC, P: 1021.73 hPa, H: 36.80 %rH, G: 146801 Ohms
2020-01-06 14:34:33 T: 24.45 degC, P: 1021.71 hPa, H: 36.77 %rH, G: 145906 Ohms
2020-01-06 14:34:38 T: 24.45 degC, P: 1021.73 hPa, H: 36.79 %rH, G: 145652 Ohms
2020-01-06 14:34:43 T: 24.45 degC, P: 1021.73 hPa, H: 36.79 %rH, G: 145779 Ohms
2020-01-06 14:34:48 T: 24.45 degC, P: 1021.73 hPa, H: 36.71 %rH, G: 146161 Ohms
2020-01-06 14:34:53 T: 24.45 degC, P: 1021.73 hPa, H: 36.62 %rH, G: 146930 Ohms
2020-01-06 14:34:58 T: 24.45 degC, P: 1021.73 hPa, H: 36.60 %rH, G: 146288 Ohms
2020-01-06 14:35:03 T: 24.44 degC, P: 1021.75 hPa, H: 36.63 %rH, G: 146161 Ohms
2020-01-06 14:35:08 T: 24.44 degC, P: 1021.75 hPa, H: 36.68 %rH, G: 145906 Ohms
2020-01-06 14:35:13 T: 24.44 degC, P: 1021.75 hPa, H: 36.72 %rH, G: 145906 Ohms
2020-01-06 14:35:18 T: 24.44 degC, P: 1021.73 hPa, H: 36.79 %rH, G: 145779 Ohms
2020-01-06 14:35:23 T: 24.44 degC, P: 1021.73 hPa, H: 36.85 %rH, G: 145906 Ohms
2020-01-06 14:35:28 T: 24.44 degC, P: 1021.73 hPa, H: 36.83 %rH, G: 146033 Ohms
2020-01-06 14:35:33 T: 24.44 degC, P: 1021.73 hPa, H: 36.86 %rH, G: 145652 Ohms
2020-01-06 14:35:38 T: 24.44 degC, P: 1021.73 hPa, H: 36.81 %rH, G: 146161 Ohms
2020-01-06 14:35:43 T: 24.44 degC, P: 1021.73 hPa, H: 36.81 %rH, G: 146161 Ohms
2020-01-06 14:35:48 T: 24.44 degC, P: 1021.73 hPa, H: 36.77 %rH, G: 146801 Ohms
2020-01-06 14:35:53 T: 24.44 degC, P: 1021.75 hPa, H: 36.68 %rH, G: 146801 Ohms
2020-01-06 14:35:58 T: 24.44 degC, P: 1021.73 hPa, H: 36.68 %rH, G: 146288 Ohms
2020-01-06 14:36:03 T: 24.44 degC, P: 1021.73 hPa, H: 36.71 %rH, G: 146801 Ohms
2020-01-06 14:36:08 T: 24.44 degC, P: 1021.73 hPa, H: 36.70 %rH, G: 147188 Ohms
2020-01-06 14:36:13 T: 24.44 degC, P: 1021.73 hPa, H: 36.62 %rH, G: 145906 Ohms
2020-01-06 14:36:18 T: 24.44 degC, P: 1021.73 hPa, H: 36.67 %rH, G: 146161 Ohms
2020-01-06 14:36:23 T: 24.44 degC, P: 1021.73 hPa, H: 36.72 %rH, G: 145906 Ohms
2020-01-06 14:36:28 T: 24.44 degC, P: 1021.69 hPa, H: 36.66 %rH, G: 141589 Ohms
2020-01-06 14:36:33 T: 24.44 degC, P: 1021.67 hPa, H: 37.92 %rH, G: 141949 Ohms
2020-01-06 14:36:38 T: 24.42 degC, P: 1021.63 hPa, H: 38.77 %rH, G: 143040 Ohms
2020-01-06 14:36:43 T: 24.41 degC, P: 1021.65 hPa, H: 38.14 %rH, G: 143900 Ohms
2020-01-06 14:36:48 T: 24.39 degC, P: 1021.65 hPa, H: 37.79 %rH, G: 144896 Ohms
2020-01-06 14:36:53 T: 24.38 degC, P: 1021.69 hPa, H: 37.50 %rH, G: 145399 Ohms
2020-01-06 14:36:58 T: 24.36 degC, P: 1021.69 hPa, H: 37.27 %rH, G: 145906 Ohms
2020-01-06 14:37:03 T: 24.35 degC, P: 1021.69 hPa, H: 37.14 %rH, G: 145652 Ohms
2020-01-06 14:37:08 T: 24.34 degC, P: 1021.71 hPa, H: 37.08 %rH, G: 146161 Ohms
2020-01-06 14:37:13 T: 24.33 degC, P: 1021.69 hPa, H: 37.01 %rH, G: 146673 Ohms
2020-01-06 14:37:18 T: 24.33 degC, P: 1021.71 hPa, H: 36.95 %rH, G: 147577 Ohms
2020-01-06 14:37:23 T: 24.32 degC, P: 1021.71 hPa, H: 36.94 %rH, G: 147577 Ohms
2020-01-06 14:37:28 T: 24.31 degC, P: 1021.73 hPa, H: 36.92 %rH, G: 147188 Ohms
2020-01-06 14:37:33 T: 24.30 degC, P: 1021.73 hPa, H: 36.91 %rH, G: 147707 Ohms
2020-01-06 14:37:38 T: 24.29 degC, P: 1021.69 hPa, H: 36.94 %rH, G: 147059 Ohms
2020-01-06 14:37:43 T: 24.29 degC, P: 1021.69 hPa, H: 36.96 %rH, G: 147838 Ohms
2020-01-06 14:37:48 T: 24.28 degC, P: 1021.69 hPa, H: 36.94 %rH, G: 147577 Ohms
2020-01-06 14:37:53 T: 24.28 degC, P: 1021.67 hPa, H: 36.92 %rH, G: 147968 Ohms
2020-01-06 14:37:58 T: 24.28 degC, P: 1021.69 hPa, H: 36.96 %rH, G: 148493 Ohms
2020-01-06 14:38:03 T: 24.28 degC, P: 1021.67 hPa, H: 36.99 %rH, G: 147447 Ohms
2020-01-06 14:38:08 T: 24.28 degC, P: 1021.71 hPa, H: 36.99 %rH, G: 147318 Ohms
2020-01-06 14:38:13 T: 24.29 degC, P: 1021.69 hPa, H: 37.00 %rH, G: 148493 Ohms
2020-01-06 14:38:19 T: 24.30 degC, P: 1021.69 hPa, H: 37.00 %rH, G: 147318 Ohms
2020-01-06 14:38:24 T: 24.30 degC, P: 1021.75 hPa, H: 36.97 %rH, G: 148625 Ohms
2020-01-06 14:38:29 T: 24.30 degC, P: 1021.75 hPa, H: 36.96 %rH, G: 147838 Ohms
2020-01-06 14:38:34 T: 24.30 degC, P: 1021.71 hPa, H: 36.96 %rH, G: 148099 Ohms
2020-01-06 14:38:39 T: 24.30 degC, P: 1021.69 hPa, H: 36.96 %rH, G: 148625 Ohms
2020-01-06 14:38:44 T: 24.30 degC, P: 1021.69 hPa, H: 36.96 %rH, G: 148099 Ohms
2020-01-06 14:38:49 T: 24.29 degC, P: 1021.69 hPa, H: 36.96 %rH, G: 149154 Ohms
2020-01-06 14:38:54 T: 24.29 degC, P: 1021.69 hPa, H: 36.97 %rH, G: 147447 Ohms
2020-01-06 14:38:59 T: 24.29 degC, P: 1021.69 hPa, H: 37.00 %rH, G: 147968 Ohms
2020-01-06 14:39:04 T: 24.30 degC, P: 1021.67 hPa, H: 36.99 %rH, G: 148099 Ohms
2020-01-06 14:39:09 T: 24.30 degC, P: 1021.71 hPa, H: 36.99 %rH, G: 146544 Ohms
2020-01-06 14:39:14 T: 24.30 degC, P: 1021.71 hPa, H: 36.98 %rH, G: 147577 Ohms
2020-01-06 14:39:19 T: 24.31 degC, P: 1021.71 hPa, H: 36.97 %rH, G: 148493 Ohms
2020-01-06 14:39:24 T: 24.31 degC, P: 1021.69 hPa, H: 36.98 %rH, G: 147188 Ohms
2020-01-06 14:39:29 T: 24.31 degC, P: 1021.69 hPa, H: 37.03 %rH, G: 147707 Ohms
2020-01-06 14:39:34 T: 24.31 degC, P: 1021.69 hPa, H: 37.00 %rH, G: 148757 Ohms
2020-01-06 14:39:39 T: 24.31 degC, P: 1021.69 hPa, H: 36.97 %rH, G: 148230 Ohms
2020-01-06 14:39:44 T: 24.31 degC, P: 1021.69 hPa, H: 36.96 %rH, G: 147318 Ohms
2020-01-06 14:39:49 T: 24.31 degC, P: 1021.69 hPa, H: 36.94 %rH, G: 148493 Ohms
2020-01-06 14:39:54 T: 24.31 degC, P: 1021.69 hPa, H: 36.92 %rH, G: 147838 Ohms
2020-01-06 14:39:59 T: 24.31 degC, P: 1021.67 hPa, H: 36.90 %rH, G: 147968 Ohms
2020-01-06 14:40:04 T: 24.31 degC, P: 1021.65 hPa, H: 36.88 %rH, G: 147968 Ohms
2020-01-06 14:40:09 T: 24.30 degC, P: 1021.65 hPa, H: 36.87 %rH, G: 148361 Ohms
2020-01-06 14:40:14 T: 24.30 degC, P: 1021.65 hPa, H: 36.85 %rH, G: 147707 Ohms
2020-01-06 14:40:19 T: 24.30 degC, P: 1021.61 hPa, H: 36.85 %rH, G: 148625 Ohms
2020-01-06 14:40:24 T: 24.29 degC, P: 1021.61 hPa, H: 36.86 %rH, G: 147838 Ohms
2020-01-06 14:40:29 T: 24.29 degC, P: 1021.61 hPa, H: 36.89 %rH, G: 147447 Ohms
2020-01-06 14:40:34 T: 24.28 degC, P: 1021.63 hPa, H: 36.98 %rH, G: 147577 Ohms
2020-01-06 14:40:39 T: 24.28 degC, P: 1021.63 hPa, H: 37.04 %rH, G: 147447 Ohms
2020-01-06 14:40:44 T: 24.28 degC, P: 1021.61 hPa, H: 37.00 %rH, G: 147707 Ohms
2020-01-06 14:40:49 T: 24.27 degC, P: 1021.63 hPa, H: 36.93 %rH, G: 147707 Ohms
2020-01-06 14:40:54 T: 24.27 degC, P: 1021.61 hPa, H: 36.95 %rH, G: 148493 Ohms
2020-01-06 14:40:59 T: 24.27 degC, P: 1021.63 hPa, H: 36.94 %rH, G: 148099 Ohms
2020-01-06 14:41:04 T: 24.26 degC, P: 1021.63 hPa, H: 36.91 %rH, G: 148361 Ohms
2020-01-06 14:41:09 T: 24.26 degC, P: 1021.61 hPa, H: 36.87 %rH, G: 148230 Ohms
2020-01-06 14:41:14 T: 24.26 degC, P: 1021.61 hPa, H: 36.86 %rH, G: 147838 Ohms
2020-01-06 14:41:19 T: 24.26 degC, P: 1021.61 hPa, H: 36.88 %rH, G: 148361 Ohms
2020-01-06 14:41:24 T: 24.25 degC, P: 1021.61 hPa, H: 36.89 %rH, G: 148625 Ohms
2020-01-06 14:41:29 T: 24.25 degC, P: 1021.59 hPa, H: 36.93 %rH, G: 147968 Ohms
2020-01-06 14:41:34 T: 24.25 degC, P: 1021.59 hPa, H: 36.96 %rH, G: 147968 Ohms
2020-01-06 14:41:39 T: 24.25 degC, P: 1021.59 hPa, H: 36.97 %rH, G: 148361 Ohms
2020-01-06 14:41:44 T: 24.26 degC, P: 1021.57 hPa, H: 36.96 %rH, G: 147318 Ohms
2020-01-06 14:41:49 T: 24.26 degC, P: 1021.59 hPa, H: 37.08 %rH, G: 147577 Ohms
2020-01-06 14:41:54 T: 24.26 degC, P: 1021.61 hPa, H: 37.12 %rH, G: 148230 Ohms
2020-01-06 14:41:59 T: 24.26 degC, P: 1021.61 hPa, H: 37.08 %rH, G: 148230 Ohms
2020-01-06 14:42:04 T: 24.26 degC, P: 1021.63 hPa, H: 37.07 %rH, G: 148099 Ohms
2020-01-06 14:42:09 T: 24.26 degC, P: 1021.63 hPa, H: 37.05 %rH, G: 147968 Ohms
2020-01-06 14:42:14 T: 24.26 degC, P: 1021.63 hPa, H: 37.02 %rH, G: 147968 Ohms
2020-01-06 14:42:19 T: 24.27 degC, P: 1021.61 hPa, H: 37.12 %rH, G: 146673 Ohms
2020-01-06 14:42:24 T: 24.27 degC, P: 1021.61 hPa, H: 37.25 %rH, G: 146930 Ohms
2020-01-06 14:42:29 T: 24.27 degC, P: 1021.63 hPa, H: 37.32 %rH, G: 146033 Ohms
2020-01-06 14:42:34 T: 24.27 degC, P: 1021.61 hPa, H: 37.44 %rH, G: 146801 Ohms
2020-01-06 14:42:39 T: 24.27 degC, P: 1021.61 hPa, H: 37.34 %rH, G: 147188 Ohms
2020-01-06 14:42:44 T: 24.27 degC, P: 1021.61 hPa, H: 37.27 %rH, G: 147838 Ohms
